State,Elec Distributor,Postcode,Suburb,RES Tariff,SME Tariff,Plan Type,Customer Type,Consumption Level,Retailer,Product Name,Product Description,Discount: Guaranteed Elec,Discount: Guaranteed Gas,Discount: Pay on Time Elec,Discount: Pay on Time Gas,Discount: Dual Fuel Elec,Discount: Dual Fuel Gas,AD:Rankings (Inc Discounts), Ranking 1,Ranking 2,Ranking 3,Date
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,1,0%,-1.97%,-3.29%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,1.94%,0%,-1.29%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,3,3.18%,1.27%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Origin Energy,"Origin Max Saver (Powercor)","",11,,,,,,4,3.39%,1.48%,0.21%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,5,4.6%,2.72%,1.46%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,6,4.6%,2.72%,1.46%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,7,4.6%,2.72%,1.46%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,8,5%,3.13%,1.88%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Origin Energy,"Origin Flexi","",5,,,,,,9,9.52%,7.74%,6.55%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Elec,RES,High,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,10,12.14%,10.4%,9.25%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,1,0%,0%,-2.86%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Low,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,2,0%,0%,-2.86%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,3,2.78%,2.78%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Low,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,4.11%,4.11%,1.37%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,6.67%,6.67%,4%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Low,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,9.68%,9.68%,7.1%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,1,0%,0%,-4.09%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Medium,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,2,0%,0%,-4.09%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Medium,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,3,3.93%,3.93%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,4,5.52%,5.52%,1.66%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,8.56%,8.56%,4.81%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,Medium,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10%,10%,6.32%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,1,0%,0%,-2.44%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,High,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,2,0%,0%,-2.44%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,High,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,3,2.38%,2.38%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,4,6.39%,6.39%,4.11%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,8.89%,8.89%,6.67%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Gas,RES,High,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.09%,10.09%,7.89%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Origin Energy,"Origin Max Saver (Powercor)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",11,20,,,,,1,0%,-0.43%,-0.64%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,2,0.43%,0%,-0.21%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,3,0.64%,0.21%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,4,0.85%,0.43%,0.21%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,5,1.06%,0.64%,0.42%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,6,2.71%,2.3%,2.09%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,3,,,7,3.52%,3.11%,2.9%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges for electricity and 5% discount on usage and supply charges for gas when you purchase the Power Saver and Gas Saver products.",,,7,5,,,8,4.7%,4.29%,4.09%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Low,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",5,11,,,,,9,7.36%,6.96%,6.76%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Origin Energy,"Origin Max Saver (Powercor)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",11,20,,,,,1,0%,-0.34%,-0.84%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,0.33%,0%,-0.5%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,3,0.83%,0.5%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,4,1.16%,0.83%,0.33%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,5,1.49%,1.16%,0.66%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,6,2.13%,1.8%,1.31%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,3,,,7,3.86%,3.54%,3.06%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges for electricity and 5% discount on usage and supply charges for gas when you purchase the Power Saver and Gas Saver products.",,,7,5,,,8,5.69%,5.37%,4.9%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,Medium,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",5,11,,,,,9,7.44%,7.13%,6.67%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,1,0%,-0.3%,-1.19%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Origin Energy,"Origin Max Saver (Powercor)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",11,20,,,,,2,0.3%,0%,-0.89%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,1.17%,0.88%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,4,1.17%,0.88%,0%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,5,1.89%,1.6%,0.73%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,6,2.17%,1.88%,1.01%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,3,,,7,4.26%,3.97%,3.12%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges for electricity and 5% discount on usage and supply charges for gas when you purchase the Power Saver and Gas Saver products.",,,7,5,,,8,6.25%,5.97%,5.14%,23/04/2020
VIC,Powercor,3226,Ocean Grove,D1,,Dual,RES,High,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",5,11,,,,,9,7.79%,7.51%,6.69%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-0.96%,-0.96%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,2,0.95%,0%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Origin Energy,"Origin Max Saver (United Energy)","",13,,,,,,3,0.95%,0%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,1.27%,0.32%,0.32%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,5,2.19%,1.25%,1.25%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,6,2.19%,1.25%,1.25%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,7,2.8%,1.87%,1.87%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,8,3.7%,2.78%,2.78%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,5.74%,4.83%,4.83%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Low,Origin Energy,"Origin Flexi","",5,,,,,,10,9.3%,8.43%,8.43%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,1,0%,0%,-0.24%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,2,0%,0%,-0.24%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,3,0.24%,0.24%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Origin Energy,"Origin Max Saver (United Energy)","",13,,,,,,4,1.18%,1.18%,0.94%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,5,1.87%,1.87%,1.64%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,6,2.1%,2.1%,1.86%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,7,2.1%,2.1%,1.86%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,8,3%,3%,2.77%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,5.19%,5.19%,4.97%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,Medium,Origin Energy,"Origin Flexi","",5,,,,,,10,9.48%,9.48%,9.27%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,1,0%,-0.21%,-0.21%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,0.21%,0%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,3,0.21%,0%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Origin Energy,"Origin Max Saver (United Energy)","",13,,,,,,4,1.27%,1.05%,1.05%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,5,2.09%,1.88%,1.88%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,6,2.5%,2.29%,2.29%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,7,2.5%,2.29%,2.29%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,8,2.9%,2.7%,2.7%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,5.45%,5.25%,5.25%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Elec,RES,High,Origin Energy,"Origin Flexi","",5,,,,,,10,9.65%,9.46%,9.46%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Low,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,1,0%,-3.97%,-7.94%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,2,3.82%,0%,-3.82%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,3,7.35%,3.68%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Low,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,8.7%,5.07%,1.45%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,5,10%,6.43%,2.86%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Low,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.64%,7.09%,3.55%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Medium,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,1,0%,-2.5%,-5.63%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,2,2.44%,0%,-3.05%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Medium,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,3,5.33%,2.96%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,4,5.33%,2.96%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,5.88%,3.53%,0.59%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,Medium,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.11%,7.87%,5.06%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,High,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,1,0%,-2.6%,-3.65%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,2,2.54%,0%,-1.02%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,3,3.52%,1.01%,0%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,High,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,4%,1.5%,0.5%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,6.34%,3.9%,2.93%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Gas,RES,High,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.28%,7.94%,7.01%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Dual,RES,Low,Origin Energy,"Origin Max Saver (United Energy)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",13,20,,,,,1,0%,-0.45%,-2.49%,23/04/2020
VIC,United Energy,3188,Hampton,LVS1R,,Dual,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,2,0.45%,0%,-2.03%,23/04/2020
